scheme_id,scheme_name,category,state,min_age,max_age,occupation,gender,income_limit,benefits,documents_required,application_process,official_website
1,Pradhan Mantri Kisan Samman Nidhi,Agriculture,All States,18,100,Farmer,All,0,Financial assistance of Rs 6000 per year in three installments,Aadhaar Card|Land Records|Bank Account Details,Apply online through PM-KISAN portal or visit nearest CSC,https://pmkisan.gov.in
2,Kisan Credit Card Scheme,Agriculture,All States,18,100,Farmer,All,0,Credit facility up to Rs 3 lakh at concessional interest rates,Aadhaar Card|Land Records|Bank Account Details|Passport Photo,Visit nearest bank branch with required documents,https://www.nabard.org
3,National Pension Scheme for Traders,Social Security,All States,18,60,Trader,All,200000,Monthly pension after 60 years with contribution-based benefits,Aadhaar Card|PAN Card|Bank Account Details,Register on Maandhan portal and complete KYC,https://maandhan.in
4,Pradhan Mantri Mudra Yojana,Business,All States,18,100,Entrepreneur,All,1000000,Loans up to Rs 10 lakh for micro enterprises,Aadhaar Card|PAN Card|Business Plan|Bank Account Details,Apply through participating banks and financial institutions,https://www.mudra.org.in
5,National Rural Livelihood Mission,Rural Development,All States,18,100,Rural Resident,All,0,Skill training and financial assistance for self-employment,Aadhaar Card|Income Certificate|Residence Proof,Contact State Rural Livelihood Mission office,https://nrlm.gov.in
6,Ayushman Bharat Pradhan Mantri Jan Arogya Yojana,Healthcare,All States,0,100,All,All,500000,Health insurance coverage up to Rs 5 lakh per family per year,Aadhaar Card|Ration Card|Income Certificate,Check eligibility and get card from nearest health center,https://pmjay.gov.in
7,Beti Bachao Beti Padhao,Women Empowerment,All States,0,18,All,Female,0,Educational support and awareness for girl child welfare,Birth Certificate|Aadhaar Card|Bank Account Details,Apply through nearest Anganwadi or women welfare office,https://wcd.nic.in
8,Pradhan Mantri Awas Yojana,Housing,All States,21,100,All,All,1800000,Subsidy for purchasing or constructing houses,Aadhaar Card|Income Certificate|Property Documents|Bank Account Details,Apply online through PMAY portal or nearest CSC,https://pmaymis.gov.in
9,Mahatma Gandhi National Rural Employment Guarantee,Employment,All States,18,100,Rural Resident,All,0,100 days of guaranteed wage employment in a financial year,Aadhaar Card|Job Card|Bank Account Details,Apply at local Gram Panchayat office,https://nrega.nic.in
10,National Scheme for Incentive to Girls for Secondary Education,Education,All States,14,18,Student,Female,200000,Cash incentive for girl students to continue education,Aadhaar Card|School Enrollment Certificate|Bank Account Details,Apply through school or education department,https://wcd.nic.in
11,Post Matric Scholarship for SC Students,Education,All States,18,30,Student,All,250000,Financial assistance for SC students pursuing higher education,Aadhaar Card|Caste Certificate|Income Certificate|Admission Proof,Apply through National Scholarship Portal,https://scholarships.gov.in
12,National Apprenticeship Promotion Scheme,Skill Development,All States,18,35,Youth,All,0,Stipend during apprenticeship training period,Aadhaar Card|Educational Certificate|Bank Account Details,Register on apprenticeship portal,https://apprenticeshipindia.gov.in
13,Startup India Scheme,Entrepreneurship,All States,18,100,Entrepreneur,All,0,Tax exemptions and funding support for startups,Aadhaar Card|PAN Card|Business Registration|Bank Account Details,Register on Startup India portal,https://www.startupindia.gov.in
14,Pradhan Mantri Matru Vandana Yojana,Maternity,All States,18,45,All,Female,0,Cash incentive of Rs 5000 for pregnant and lactating mothers,Aadhaar Card|Pregnancy Certificate|Bank Account Details,Apply at nearest Anganwadi center,https://wcd.nic.in
15,Atal Pension Yojana,Pension,All States,18,40,All,All,0,Guaranteed pension between Rs 1000 to Rs 5000 after 60 years,Aadhaar Card|Bank Account Details,Open account through any bank,https://npscra.nsdl.co.in
16,Maharashtra Shetakari Sanman Yojana,Agriculture,Maharashtra,18,100,Farmer,All,0,Annual financial assistance of Rs 6000,Aadhaar Card|Land Records|Bank Account Details,Apply through district agriculture office,https://maharashtra.gov.in
17,Tamil Nadu Free Laptop Scheme,Education,Tamil Nadu,18,25,Student,All,200000,Free laptops for higher secondary students,Aadhaar Card|School Certificate|Income Certificate,Automatic distribution through schools,https://tn.gov.in
18,Kerala Pension for Agriculture Workers,Social Security,Kerala,60,100,Agricultural Worker,All,100000,Monthly pension of Rs 1200,Aadhaar Card|Work Certificate|Income Certificate|Bank Account Details,Apply at local Panchayat office,https://kerala.gov.in
19,Gujarat Vahli Dikri Yojana,Women Empowerment,Gujarat,0,18,All,Female,200000,Financial assistance for girl child education and marriage,Birth Certificate|Aadhaar Card|Income Certificate|Bank Account Details,Apply through district women welfare office,https://gujarat.gov.in
20,Rajasthan Indira Gandhi Matritva Poshan Yojana,Maternity,Rajasthan,18,45,All,Female,0,Cash assistance for pregnant women for nutrition,Aadhaar Card|Pregnancy Certificate|Bank Account Details,Apply at nearest health center,https://rajasthan.gov.in
